"Strings";"en";"de";"fr";"Notes"
"other_games_text_app_04_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";
"other_games_text_app_05_ipad_name";"Summer Solitaire (Free)";"Summer Solitaire (Free)";"Summer Solitaire (Free)";"Trans"
"other_games_text_app_05_ipad_key_string";"Solitaire_Free";"Solitaire_Free";"Solitaire_Free";
"other_games_text_app_05_ipad_desc";"Addiction is in the cards.";"Addiction is in the cards.";"Addiction is in the cards.";"Trans"
"other_games_text_app_05_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";
"other_games_text_app_06_ipad_name";"Clean Crosswords";"Clean Crosswords";"Clean Crosswords";"Trans"
"other_games_text_app_06_ipad_key_string";"CleanCrossword_ipad";"CleanCrossword_ipad";"CleanCrossword_ipad";
"other_games_text_app_06_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-clean-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-clean-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-clean-crossword.png";
"other_games_text_app_06_ipad_desc";"1,800 challenging puzzles.";"1.800 challenging puzzles.";"1,800 challenging puzzles.";"Trans"
;;;;
"//Ad Network Preferences //";;;;
"fullscreen_ad_after_1st_lesson_of_day";"TapDaq";"TapDaq";"TapDaq";
"fullscreen_ad_after_every_following_lesson";"AddApptr";"AddApptr";"AddApptr";
;;;;
;;;;
"//Customer Service email form //";;;;
"customer_service_email_subject";"Message support team.";"Message support team.";"Message support team.";"New"
"customer_service_email_text";".






















OS: {0}
Device: {1}
Version Number: {2}
ID: {3}
Language: {4}
Region: {5}
Push-Token: {6}
Premium: {7}
valid till: {8}";".






















OS: {0}
Device: {1}
Version Number: {2}
ID: {3}
Language: {4}
Region: {5}
Push-Token: {6}
Premium: {7}
valid till: {8}";".






















OS: {0}
Device: {1}
Version Number: {2}
ID: {3}
Language: {4}
Region: {5}
Push-Token: {6}
Premium: {7}
valid till: {8}";"New"
;;;;
;;;;
;;;;
"/********* Keep below for future versions  ********//";;;;
;;;;
"//Unused Legacy Strings //";;;;
"question_result_text_kq";"KQ: %.1f";"WQ: %.1f";"QC: %.1f";
"general_button_alert";"Alert";"Hinweis";"Attention";
"general_button_error";"Error";"Fehler";"Erreur";
"general_button_ok";"OK";"OK";"OK";
"general_button_back";"Back";"Zurück";"Retour en arrière";
"general_button_reset";"Reset";"Reset";"Reset";
;;;;
;;;;
"//itrivia ad //";;;;
"itrivia_ad_text";"Addicted? Get iTrivia!";"Süchtig? Hol Dir iTrivia!";"Accro? Essayez iTrivia!";
;;;;
"//In-App Purchase //";;;;
;"Cannot connect to store";"Keine Verbindung zum App Store";"Aucun produit trouvé";
;"Error";"Fehler";"Erreur";
;"Error";"Fehler";"Erreur";
;"In App Purchases disabled.";"In-App Käufe deaktiviert.";"Achats In-App désactivé.";
;"To enable, please visit the Settings app of your iOS device and select General > Restrictions and turn on In-App Purchase.";"Sie können die In-App Käufe in den Einstellungen/Allgemein/Einschränkungen aktivieren.";"Pour activer, consulter les paramètres de votre appareil iOS.";
;;;;
;"Error";"Fehler";"Erreur";
;"Unfortunately, I cannot reach the App Store. Is everything OK on your end? Is your Internet working?";"Leider kann ich den App Store im Moment nicht erreichen. Ist auf Ihrer Seite alles in Ordnung - funktioniert das Internet? ";"Aucun produit trouvé";
;;;;
;"Your warm-up of Knowledge Trainer is finished. Questions will now be repeated.";"Die Aufwärmphase ist beendet. Fragen werden jetzt wiederholt.";"Terminé ! Les questions seront maintenant répétées. ";
;"Get the full game!";"Vollversion holen!";"Version complète!";
;"Play another 20 lessons with 200 new questions for the low price of %@?";"Weitere 20 Lektionen mit 200 neuen Fragen spielen für %@ ?";"Un autre 20 tours avec 200 nouvelles questions à jouer %@?";
;"Or better, unlock the full game for 6,000+ new questions. ";"Oder schalten Sie die Vollversion mit 4.000 Fragen frei.";"Téléchargez le jeu complet pour plus de 3000 questions";
;"Or better, unlock the full game for 6,000+ new questions. ";"Oder schalten Sie die Voll- Version mit 4000 Fragen frei.";"Téléchargez le jeu complet pour plus de 3000 questions";
;"Invest %@ for weeks of intelligent entertainment!";"Intelligente Unterhaltung über Wochen für nur %@";"Investissez %@ pour plus de divertissement intelligent.";
;"Unlock the full game for 6,000+ new questions and no ads for %@";"Keine Werbung und über 4.000 Fragen in der Vollversion für nur %@";"Version complète avec plus de 4000 questions et sans pubs pour %@.";
;"Yes";"Ja, ich will upgraden!";"Mettez-moi à jour!";
;"No";"Nein, später.";"Non, continuer";
;;;;
;;;;
;"Upgrade to continue KQ calculation";"Upgrade nötig für WQ-Berechnung";"Mettez à jour pour continuer le QC calcul ";
